Rodada;Campeonato Brasileiro 2023;;
;Cuiabá;X;Santos
14ª;Fluminense;X;Internacional
;Vasco;X;Cruzeiro
;Palmeiras;X;Flamengo
;Santos;X;Goiás
;Bragantino;X;São Paulo
;Atlético-MG;X;Corinthians
;Grêmio;X;Botafogo
;Coritiba;X;América-MG
;Fortaleza;X;Athletico-PR
;Cuiabá;X;Bahia
15ª;Fluminense;X;Flamengo
;Botafogo;X;Bragantino
;São Paulo;X;Santos
;Corinthians;X;Grêmio
;Goiás;X;Atlético-MG
;Cruzeiro;X;Coritiba
;Internacional;X;Palmeiras
;Athletico-PR;X;Bahia
;Fortaleza;X;Cuiabá
;América-MG;X;Vasco
16ª;Flamengo;X;América-MG
;Vasco;X;Athletico-PR
;Palmeiras;X;Fortaleza
;Santos;X;Botafogo
;Bragantino;X;Internacional
;Cruzeiro;X;Goiás
;Grêmio;X;Atlético-MG
;Coritiba;X;Fluminense
;Bahia;X;Corinthians
;Cuiabá;X;São Paulo
17ª;Fluminense;X;Santos
;Botafogo;X;Coritiba
;São Paulo;X;Bahia
;Corinthians;X;Vasco
;Goiás;X;Grêmio
;Atlético-MG;X;Flamengo
;Internacional;X;Cuiabá
;Athletico-PR;X;Cruzeiro
;Fortaleza;X;Bragantino
;América-MG;X;Palmeiras
18ª;Fluminense;X;Palmeiras
;Vasco;X;Grêmio
;São Paulo;X;Atlético-MG
;Santos;X;Athletico-PR
;Goiás;X;Fortaleza
;Cruzeiro;X;Botafogo
;Internacional;X;Corinthians
;Coritiba;X;Bragantino
;Bahia;X;América-MG
;Cuiabá;X;Flamengo
19ª;Flamengo;X;São Paulo
;Botafogo;X;Internacional
;Palmeiras;X;Cruzeiro
;Corinthians;X;Coritiba
;Bragantino;X;Vasco
;Atlético-MG;X;Bahia
;Grêmio;X;Fluminense
;Athletico-PR;X;Cuiabá
;Fortaleza;X;Santos
;América-MG;X;Goiás
